Sport,Constraint Type,Subcategory,Constraint
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,Conference Game Count: Each team must play exactly 9 conference games
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,Consecutive Road Games: No school plays more than 2 consecutive conference road games
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,Road Game Distribution: No school plays 4-of-5 conference games on the road
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,Open Week Advantage: No school plays a conference team coming off an open week more than twice
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,Back-to-Back Road Sets: No school plays two sets of back-to-back conference road games in a season
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,Thursday Game Recovery: Each school playing in a Thursday game will have similar recovery period
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,Schedule Duration: All games must be scheduled within a 9-week period ending on Thanksgiving Saturday
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,ABC/ESPN Obligations: Meet contractual obligations for ABC/ESPN telecasts
FOOTBALL,Hard Constraints (Must Be Satisfied),Core Scheduling Requirements,FOX Obligations: Meet contractual obligations for FOX telecasts
FOOTBALL,Hard Constraints (Must Be Satisfied),BYU Religious Observance (Critical Priority),Sunday Restriction: BYU cannot play games on Sunday
FOOTBALL,Soft Constraints (Preferences with Weights),Early Home Game (Weight: 0.7),At least one of the first two games will be scheduled as a home game
FOOTBALL,Soft Constraints (Preferences with Weights),Late Home Game (Weight: 0.6),At least one of the last two games will be scheduled as a home game
FOOTBALL,Soft Constraints (Preferences with Weights),Three Weeks Without Home (Weight: 0.8),Avoid institutions playing three straight weeks without a home game
FOOTBALL,Soft Constraints (Preferences with Weights),Away-Bye-Away Avoidance (Weight: 0.7),Avoid the away-bye-away scenario unless Thursday game involved
FOOTBALL,Soft Constraints (Preferences with Weights),Short Week Equality (Weight: 0.8),Balance recovery time for teams playing on short weeks
FOOTBALL,Soft Constraints (Preferences with Weights),Travel Optimization (Weight: 0.6),Consider multiple time zone crossings in game sequencing
FOOTBALL,Soft Constraints (Preferences with Weights),Travel Optimization (Weight: 0.6),Emphasize player health and recovery in travel planning
FOOTBALL,Soft Constraints (Preferences with Weights),Media Rights Optimization,Provide contractually required weeknight games
FOOTBALL,Soft Constraints (Preferences with Weights),Media Rights Optimization,Optimize for TV viewership windows
FOOTBALL,Season Parameters,Conference Play Structure,9 games
FOOTBALL,Season Parameters,Season Length (Number of Weeks),12 weeks (late August to late November)
FOOTBALL,Season Parameters,Conference Postseason Start Date,First Saturday of December
MEN'S BASKETBALL,Hard Constraints (Must Be Satisfied),Conference Play Structure,Conference Game Count: Each team must play exactly 18 conference games
MEN'S BASKETBALL,Hard Constraints (Must Be Satisfied),Conference Play Structure,Play Distribution: Each team plays 3 opponents twice (home and away) and 12 opponents once
MEN'S BASKETBALL,Hard Constraints (Must Be Satisfied),Conference Play Structure,Season Windows: 19 total windows with 1 bye week
MEN'S BASKETBALL,Hard Constraints (Must Be Satisfied),Home/Away Balance (CORE Requirements),First Four Games: At least 2 home and 2 away
